Nombre del recurso,Academia/Instituto,Archivos,Descripción del recurso,Efecto panico,Función del mensaje,Idioma que enseña,Link,Material Base,Número,Subítem,Texto,Tipo de palabra,Tipo de recurso,Tipo de signo,descripción del signo,ítem principal
Saludo formal,CCch,ninhao.png,"La imagen tiene un fondo gris claro. En el centro, hay una fotografía de tres personas en un entorno de oficina, con un hombre y una mujer jóvenes dándole la mano a un hombre mayor. Alrededor de la fotografía, hay dos burbujas de diálogo blancas con bordes de colores (morado y verde azulado). Dentro de las burbujas, hay texto en caracteres chinos, pinyin en rojo y la traducción al español ""¡Hola!"" en morado. Los colores predominantes son el gris del fondo, el blanco de las burbujas, el negro de los trajes y el texto, y los colores de los bordes de las burbujas y el texto (morado, verde azulado, rojo).",No,Relevo,Chino Mandarín,https://drive.google.com/file/d/1pBcp3_qV0Z0Du2f-AHgk0P8sJCyZBMCr/view?usp=sharing,HSK1 Standard Course,45,,,Saludo Formal,Foto,índice,,
Nosotros,CCch,nosotros.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco que contiene la palabra ""nosotros/as"" en negro. En la parte inferior izquierda, hay un meme de ""Success Kid"" (un bebé con el puño cerrado y una expresión determinada) con la palabra ""NOSOTROS"" en mayúsculas blancas sobre un fondo negro. A la derecha del meme, hay una burbuja de diálogo blanca con un borde azul que contiene caracteres chinos en negro y la palabra ""wǒmen"" en rojo. En la esquina inferior derecha, hay un logotipo con texto en rojo y caracteres chinos en negro. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el azul y el rojo.",Si,Relevo,Chino Mandarín,,Desconocido,46,,,Pronombres,meme,índice,La expresion del niño podria indicar un “nosotros”,
Ella,CCch,ella.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""ella"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""tā"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay dos ilustraciones de niños: un niño con piel oscura, cabello rizado, camiseta roja y pantalones cortos rojos, y una niña con cabello rubio en dos coletas, camiseta rosa, pantalones azules y una mochila turquesa. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de piel de los niños.",No,Anclaje,Chino Mandarín,,Desconocido,47,,"no es una imagen disonante con el mensaje, pero es infantilizadora",Pronombres,Ilustración,Icono,,
El,CCch,el.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""él"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""tā"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay dos ilustraciones de niños: un niño con piel oscura, cabello rizado, camiseta amarilla y pantalones verdes, señalando a un niño rubio sentado con una camiseta verde y pantalones azules. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul, el amarillo, el verde y los tonos de piel de los niños.",No,Anclaje,Chino Mandarín,,Desconocido,48,,"no es una imagen disonante con el mensaje, pero es infantilizadora",Pronombres,Ilustración,Icono,,
Ser,CCch,ser.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""ser"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""shì"" en rojo, la palabra ""ser"" en negro y un carácter chino en negro. A la derecha de la burbuja, la palabra ""SER"" está escrita en letras grandes y tridimensionales, con cada letra de un color pastel diferente (rosa, morado, azul claro). Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y el morado.",Si,Anclaje,Chino Mandarín,,Desconocido,49,,ser?,Pronombres,Tipografía,Icono,,
Yo,CCch,yo.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""yo"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""wǒ"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay una ilustración de una mujer con cabello castaño y una camisa roja, señalándose a sí misma con el dedo. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo y el azul.",No,Anclaje,Chino Mandarín,,Desconocido,50,,,Pronombres,Ilustración,Icono,,
Ustedes,CCch,ustedes.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""vosotros/as"" en negro, y la palabra ""(usted)"" a la derecha. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""nǐmen"" en rojo y caracteres chinos en negro. A la derecha de la burbuja, hay una ilustración de tres niños. Uno de ellos, vestido de verde, señala a los otros dos. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul, el verde y el naranja.",No,Anclaje,Chino Mandarín,,Desconocido,51,,,Pronombres,Ilustración,Icono,,
Usted,CCch,usted.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""usted"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""nín"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay una ilustración de un niño con cabello oscuro y un mechón azul, vestido con una camisa azul claro y pantalones negros, haciendo una reverencia. En la esquina inferior derecha, hay un logotipo con texto en rojo y caracteres chinos en negro. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y el azul claro.",No,Anclaje,Chino Mandarín,,Desconocido,52,,,Pronombres,Ilustración,índice,"La ilustracion mues tra a un niño inclinado, lo que indica formalidad.

podria ser simbolo? porque inclinarse es un acto de formalidad en asia",
Lo siento,CCch,duibuqi.png,"La imagen tiene un fondo gris claro. En el centro, hay una fotografía de dos hombres. Uno está de pie y ayuda al otro a levantarse del suelo, donde está sentado. Alrededor de la fotografía, hay dos burbujas de diálogo blancas con bordes de colores (morado y verde azulado). Dentro de las burbujas, hay texto en caracteres chinos, pinyin en rojo y la traducción al español en morado. Los colores predominantes son el gris del fondo, el blanco de las burbujas, el negro de la ropa de los hombres y el texto, y los colores de los bordes de las burbujas y el texto (morado, verde azulado, rojo).",No,Relevo,Chino Mandarín,https://drive.google.com/file/d/1pBcp3_qV0Z0Du2f-AHgk0P8sJCyZBMCr/view?usp=sharing,HSK1 Standard Course,53,,,Expresión Fática,Foto,índice,Es una situacion en la que se puede inferir que la persona parada se disculpa.,
Lo siento/disculpa/perdón,CCch,lo_siento.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco que contiene la frase ""lo siento/disculpa/perdón"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""Duìbuqǐ"" en rojo y caracteres chinos en negro. A la derecha de la burbuja, hay una ilustración de un gato blanco de dibujos animados con mejillas rosadas y una expresión de disculpa, con caracteres chinos azules repetidos en el fondo. En la esquina inferior derecha, hay un logotipo con texto en rojo y caracteres chinos en negro. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo y el azul.",No,Anclaje,Chino Mandarín,,Desconocido,54,,,Expresión Fática,meme,Icono,,
No importa/está bien,CCch,todook.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco que contiene la frase ""no importa/está bien"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""Méi guānxi"" en rojo y caracteres chinos en negro. A la derecha de la burbuja, hay una ilustración de un personaje de dibujos animados amarillo con mejillas rosadas y una expresión feliz, con caracteres chinos en negro flotando sobre su cabeza. En la esquina inferior derecha, hay un logotipo con texto en rojo y caracteres chinos en negro. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y el amarillo.",No,Anclaje,Chino Mandarín,,Desconocido,55,,,Expresión Fática,meme,Icono,,
De nada,CCch,de_nada.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la frase ""De nada"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""bú xiè"" en rojo y caracteres chinos en negro. A la derecha de la burbuja, hay una imagen de un hombre con sombrero y gafas, haciendo un gesto con la mano y un texto superpuesto que dice ""NO HAY DE QUE"". En la esquina inferior derecha, hay un logotipo con texto en rojo y caracteres chinos en negro. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo y el azul.",Si,Anclaje,Chino Mandarín,,Desconocido,56,,,Expresión Fática,meme,índice,La expresion corporal del hombre indica que esta diciendo no hay de que,
Gracias,CCch,xiexie.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""gracias"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""xièxie"" en rojo y caracteres chinos en negro. A la derecha de la burbuja, hay una imagen de la oveja Shaun de la serie animada, con un pulgar hacia arriba y la palabra ""GRACIAS"" en mayúsculas blancas sobre un fondo negro. En la esquina inferior derecha, hay un logotipo con texto en rojo y caracteres chinos en negro. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo y el azul.",No,Anclaje,Chino Mandarín,,Desconocido,57,,,Expresión Fática,meme,Icono,,
Gracias a ti,CCch,gracias3.png,"La imagen tiene un fondo gris claro. En el centro, hay una fotografía de una enfermera o cuidadora joven entregando una bandeja de comida a una mujer mayor sentada en un sillón. Ambas están sonriendo. Alrededor de la fotografía, hay dos burbujas de diálogo blancas con bordes de colores (morado y verde azulado). Dentro de las burbujas, hay texto en caracteres chinos, pinyin en rojo y la traducción al español en morado o azul. Los colores predominantes son el gris del fondo, el blanco de las burbujas, el azul claro del uniforme de la enfermera, el azul de la ropa de la mujer mayor, y los colores de los bordes de las burbujas y el texto (morado, verde azulado, rojo).",No,Relevo,Chino Mandarín,https://drive.google.com/file/d/1pBcp3_qV0Z0Du2f-AHgk0P8sJCyZBMCr/view?usp=sharing,HSK1 Standard Course,58,,,Expresión Fática,Foto,índice,,
Gracias,CCch,gracias2.png,"La imagen tiene un fondo gris claro. En el centro, hay una fotografía de un hombre y una mujer cargando maletas rojas en el maletero de un coche. Ambos están sonriendo. Alrededor de la fotografía, hay dos burbujas de diálogo blancas con bordes de colores (morado y verde azulado). Dentro de las burbujas, hay texto en caracteres chinos, pinyin en rojo y la traducción al español en morado o azul. Los colores predominantes son el gris del fondo, el blanco de las burbujas, el rojo de las maletas, y los colores de los bordes de las burbujas y el texto (morado, verde azulado, rojo).",No,Relevo,Chino Mandarín,https://drive.google.com/file/d/1pBcp3_qV0Z0Du2f-AHgk0P8sJCyZBMCr/view?usp=sharing,HSK1 Standard Course,59,,,Expresión Fática,Foto,índice,,
Hasta mañana,CCch,hastamaana.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco que contiene la frase ""hasta mañana"" en negro. Debajo, hay un recuadro blanco con un borde naranja que contiene caracteres chinos en negro y la palabra ""míngtiān jiàn"" en rojo. Debajo de este recuadro, hay una fotografía de una mujer joven sonriendo, con caracteres chinos superpuestos en la parte superior izquierda. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo y los tonos de la fotografía (verde azulado, tonos de piel).",Si,Anclaje,Chino Mandarín,,Desconocido,60,,Porque una niña parada en la mitad de la nada significa hasta mañana? ni siquiera esta haciendo una expresion,"Expresión Fática, Tiempo",meme,índice,"no hay nada en la imagen que sea claro que la persona esté diciendo hasta mañana, solo se puede inferir eso",
